number	aSeq	aType	ai	aj	bSeq	bType	bi	bj	aPeak	bPeak
64	SC35M_HA	wt	175	225	SC35M_NA	wt	1150	1200	204	1175
65	SC35M_HA	wt	175	250	SC35M_NA	wt	1375	1425	227	1388
66	SC35M_HA	wt	375	450	SC35M_NA	wt	50	100	423	87
67	SC35M_HA	wt	400	475	SC35M_NA	wt	100	150	429	131
68	SC35M_HA	wt	300	375	SC35M_NA	wt	150	225	337	185
69	SC35M_HA	wt	475	525	SC35M_NA	wt	200	250	502	221
70	SC35M_HA	wt	500	575	SC35M_NA	wt	300	350	550	340
71	SC35M_HA	wt	375	425	SC35M_NA	wt	475	550	398	500
72	SC35M_HA	wt	200	300	SC35M_NA	wt	775	875	266	828
73	SC35M_HA	wt	425	500	SC35M_NA	wt	800	875	480	842
74	SC35M_HA	wt	400	500	SC35M_NA	wt	950	1050	457	995
75	SC35M_HA	wt	375	450	SC35M_NA	wt	1200	1275	413	1249
76	SC35M_HA	wt	625	675	SC35M_NA	wt	50	125	660	90
77	SC35M_HA	wt	675	750	SC35M_NA	wt	75	150	716	119
78	SC35M_HA	wt	725	825	SC35M_NA	wt	300	400	786	349
79	SC35M_HA	wt	675	750	SC35M_NA	wt	525	600	716	562
80	SC35M_HA	wt	575	650	SC35M_NA	wt	675	750	624	699
81	SC35M_HA	wt	550	650	SC35M_NA	wt	1075	1175	604	1127
82	SC35M_HA	wt	525	575	SC35M_NA	wt	1200	1275	561	1246
83	SC35M_HA	wt	875	950	SC35M_NA	wt	50	100	931	76
84	SC35M_HA	wt	850	925	SC35M_NA	wt	175	250	897	214
85	SC35M_HA	wt	825	875	SC35M_NA	wt	475	550	848	500
86	SC35M_HA	wt	700	775	SC35M_NA	wt	725	800	762	764
87	SC35M_HA	wt	725	775	SC35M_NA	wt	1300	1350	755	1324
88	SC35M_HA	wt	825	900	SC35M_NA	wt	750	800	857	780
89	SC35M_HA	wt	825	900	SC35M_NA	wt	800	875	861	843
90	SC35M_HA	wt	975	1025	SC35M_NA	wt	50	100	1014	76
91	SC35M_HA	wt	950	1025	SC35M_NA	wt	950	1050	987	1006
92	SC35M_HA	wt	1075	1150	SC35M_NA	wt	50	125	1128	80
93	SC35M_HA	wt	1075	1150	SC35M_NA	wt	200	250	1109	223
94	SC35M_HA	wt	1100	1175	SC35M_NA	wt	600	675	1150	629
95	SC35M_HA	wt	1100	1175	SC35M_NA	wt	725	800	1154	756
96	SC35M_HA	wt	1150	1225	SC35M_NA	wt	875	975	1195	928
97	SC35M_HA	wt	1100	1175	SC35M_NA	wt	1350	1450	1145	1398
98	SC35M_HA	wt	1325	1400	SC35M_NA	wt	75	150	1363	114
99	SC35M_HA	wt	1300	1350	SC35M_NA	wt	150	225	1333	181
100	SC35M_HA	wt	1300	1350	SC35M_NA	wt	425	525	1329	476
101	SC35M_HA	wt	1300	1375	SC35M_NA	wt	600	675	1342	628
102	SC35M_HA	wt	1300	1375	SC35M_NA	wt	950	1050	1340	997
103	SC35M_HA	wt	1250	1325	SC35M_NA	wt	1075	1150	1299	1129
104	SC35M_HA	wt	1300	1375	SC35M_NA	wt	1325	1400	1342	1355
105	SC35M_HA	wt	1425	1500	SC35M_NA	wt	100	175	1477	131
106	SC35M_HA	wt	1450	1500	SC35M_NA	wt	750	825	1483	795
107	SC35M_HA	wt	1450	1500	SC35M_NA	wt	825	875	1469	846
108	SC35M_HA	wt	1425	1475	SC35M_NA	wt	950	1025	1458	988
109	SC35M_HA	wt	1425	1525	SC35M_NA	wt	1075	1150	1480	1107
110	SC35M_HA	wt	1350	1400	SC35M_NA	wt	1175	1225	1377	1192
111	SC35M_HA	wt	1400	1475	SC35M_NA	wt	1325	1425	1452	1381
112	SC35M_HA	wt	1600	1675	SC35M_NA	wt	275	350	1638	298
113	SC35M_HA	wt	1675	1725	SC35M_NA	wt	350	400	1701	371
114	SC35M_HA	wt	1625	1700	SC35M_NA	wt	425	550	1637	479
115	SC35M_HA	wt	1575	1675	SC35M_NA	wt	600	675	1621	649
116	SC35M_HA	wt	1550	1600	SC35M_NA	wt	775	825	1574	795
117	SC35M_HA	wt	1600	1675	SC35M_NA	wt	950	1050	1620	1004
118	SC35M_HA	wt	1600	1650	SC35M_NA	wt	1275	1350	1640	1315
119	SC35M_HA	wt	1350	1400	SC35M_NA	wt	675	750	1370	694
120	SC35M_HA	wt	300	375	SC35M_NA	wt	1375	1425	330	1403
121	SC35M_HA	wt	475	550	SC35M_NA	wt	950	1025	532	982
122	SC35M_HA	wt	25	75	SC35M_NA	wt	950	1025	63	988
123	SC35M_HA	wt	75	125	SC35M_NA	wt	950	1025	89	983
124	SC35M_HA	wt	1050	1125	SC35M_NA	wt	475	550	1093	515
125	SC35M_HA	wt	1125	1175	SC35M_NA	wt	475	550	1139	517
126	SC35M_HA	wt	1000	1050	SC35M_NA	wt	1150	1200	1018	1192
127	SC35M_HA	wt	1000	1050	SC35M_NA	wt	1200	1275	1019	1230
128	SC35M_HA	wt	1600	1675	SC35M_NA	wt	775	875	1636	815
129	SC35M_HA	wt	500	575	SC35M_NA	wt	375	400	547	375
130	SC35M_HA	wt	725	825	SC35M_NA	wt	400	450	786	400
131	SC35M_HA	H1	900	925	SC35M_NA	H1	400	475	900	441
132	SC35M_HA	H2	1325	1350	SC35M_NA	H2	675	750	1342	683
133	SC35M_HA	H2	925	1000	SC35M_NA	H2	1150	1200	954	1176
134	SC35M_HA	H1	1050	1100	SC35M_NA	H1	1150	1200	1072	1180
135	SC35M_HA	H1	1075	1100	SC35M_NA	H1	1200	1275	1075	1239
136	SC35M_HA	H2	1600	1650	SC35M_NA	H2	1360	1400	1640	1360
137	SC35M_HA	H1	1660	1675	SC35M_NA	H1	1275	1350	1660	1313
138	SC35M_HA	4xmut	425	475	SC35M_NA	4xmut	525	575	453	556
139	SC35M_HA	4xmut	500	550	SC35M_NA	4xmut	450	525	525	506
140	SC35M_HA	4xmut	450	500	SC35M_NA	4xmut	1300	1375	484	1320
141	SC35M_HA	4xmut	500	550	SC35M_NA	4xmut	1300	1375	534	1320
142	SC35M_HA	4xmut	1025	1100	SC35M_NA	4xmut	375	450	1066	420
143	SC35M_HA	4xmut	825	925	SC35M_NA	4xmut	925	1025	863	971
144	SC35M_HA	4xmut	875	925	SC35M_NA	4xmut	1350	1400	894	1371
145	SC35M_HA	HAmtoNAterm	175	250	SC35M_NA	HAmtoNAterm	112	200	231	154
146	SC35M_HA	HAmtoNAterm	200	287	SC35M_NA	HAmtoNAterm	375	450	257	405
147	SC35M_HA	HAmtoNAterm	175	237	SC35M_NA	HAmtoNAterm	550	625	209	599
148	SC35M_HA	HAmtoNAterm	200	275	SC35M_NA	HAmtoNAterm	950	1025	243	993
149	SC35M_HA	MmtoHA51	350	412	SC35M_NA	MmtoHA51	867	950	384	909
150	SC35M_HA	wt	50	150	SC35M_NP	wt	25	75	105	54
151	SC35M_HA	wt	225	300	SC35M_NP	wt	175	250	267	209
152	SC35M_HA	wt	225	300	SC35M_NP	wt	275	350	260	311
153	SC35M_HA	wt	100	150	SC35M_NP	wt	525	575	136	545
154	SC35M_HA	wt	225	300	SC35M_NP	wt	525	600	266	567
155	SC35M_HA	H2	250	275	SC35M_NP	H2	650	700	270	663
156	SC35M_HA	wt	25	125	SC35M_NP	wt	700	800	59	750
157	SC35M_HA	wt	100	175	SC35M_NP	wt	850	925	141	874
158	SC35M_HA	wt	100	175	SC35M_NP	wt	925	1000	141	925
159	SC35M_HA	wt	100	175	SC35M_NP	wt	1025	1100	129	1048
160	SC35M_HA	wt	50	100	SC35M_NP	wt	1125	1175	68	1139
161	SC35M_HA	wt	200	275	SC35M_NP	wt	850	925	222	894
162	SC35M_HA	wt	225	300	SC35M_NP	wt	925	1000	283	948
163	SC35M_HA	wt	100	175	SC35M_NP	wt	1250	1325	139	1286
164	SC35M_HA	8xmut	175	275	SC35M_NP	8xmut	1250	1325	242	1273
165	SC35M_HA	wt	200	275	SC35M_NP	wt	1400	1450	231	1422
166	SC35M_HA	wt	500	600	SC35M_NP	wt	75	175	576	129
167	SC35M_HA	wt	325	425	SC35M_NP	wt	475	525	414	501
168	SC35M_HA	wt	325	425	SC35M_NP	wt	525	575	341	533
169	SC35M_HA	wt	425	500	SC35M_NP	wt	475	550	457	506
170	SC35M_HA	wt	375	425	SC35M_NP	wt	800	875	409	865
171	SC35M_HA	wt	300	375	SC35M_NP	wt	1275	1350	349	1301
172	SC35M_HA	wt	300	375	SC35M_NP	wt	1400	1500	341	1423
173	SC35M_HA	wt	600	675	SC35M_NP	wt	525	625	629	567
174	SC35M_HA	wt	475	575	SC35M_NP	wt	725	825	534	780
175	SC35M_HA	wt	500	550	SC35M_NP	wt	1025	1100	524	1059
176	SC35M_HA	wt	450	525	SC35M_NP	wt	1300	1400	486	1345
177	SC35M_HA	wt	725	800	SC35M_NP	wt	75	150	765	94
178	SC35M_HA	wt	825	900	SC35M_NP	wt	25	100	871	61
179	SC35M_HA	wt	700	800	SC35M_NP	wt	575	650	748	617
180	SC35M_HA	wt	675	725	SC35M_NP	wt	875	925	711	899
181	SC35M_HA	wt	600	650	SC35M_NP	wt	950	1000	629	982
182	SC35M_HA	wt	750	800	SC35M_NP	wt	1050	1125	782	1083
183	SC35M_HA	wt	825	875	SC35M_NP	wt	1000	1075	861	1048
184	SC35M_HA	wt	675	725	SC35M_NP	wt	1175	1250	703	1221
185	SC35M_HA	wt	725	775	SC35M_NP	wt	1175	1250	756	1215
186	SC35M_HA	wt	650	725	SC35M_NP	wt	1400	1500	703	1442
187	SC35M_HA	wt	575	650	SC35M_NP	wt	1475	1550	649	1475
188	SC35M_HA	wt	1050	1125	SC35M_NP	wt	25	100	1109	68
189	SC35M_HA	wt	950	1025	SC35M_NP	wt	175	250	987	210
190	SC35M_HA	wt	1075	1175	SC35M_NP	wt	200	300	1124	251
191	SC35M_HA	wt	1075	1150	SC35M_NP	wt	425	500	1109	468
192	SC35M_HA	wt	950	1000	SC35M_NP	wt	475	525	986	506
193	SC35M_HA	wt	950	1025	SC35M_NP	wt	525	600	989	570
194	SC35M_HA	wt	900	950	SC35M_NP	wt	650	725	923	681
195	SC35M_HA	wt	975	1025	SC35M_NP	wt	825	925	1007	866
196	SC35M_HA	wt	1025	1100	SC35M_NP	wt	950	1050	1066	993
197	SC35M_HA	wt	875	950	SC35M_NP	wt	1250	1325	914	1304
198	SC35M_HA	wt	875	950	SC35M_NP	wt	1425	1525	911	1471
199	SC35M_HA	wt	975	1050	SC35M_NP	wt	1400	1475	1018	1446
200	SC35M_HA	wt	1075	1100	SC35M_NP	wt	1250	1325	1099	1286
201	SC35M_HA	wt	1300	1400	SC35M_NP	wt	150	250	1340	191
202	SC35M_HA	wt	1250	1325	SC35M_NP	wt	425	525	1284	473
203	SC35M_HA	wt	1400	1475	SC35M_NP	wt	425	525	1446	473
204	SC35M_HA	wt	1300	1375	SC35M_NP	wt	700	775	1344	746
205	SC35M_HA	wt	1425	1500	SC35M_NP	wt	700	775	1461	739
206	SC35M_HA	wt	1325	1400	SC35M_NP	wt	850	950	1360	900
207	SC35M_HA	wt	1400	1475	SC35M_NP	wt	950	1025	1446	976
208	SC35M_HA	wt	1325	1400	SC35M_NP	wt	1025	1100	1379	1057
209	SC35M_HA	wt	1400	1475	SC35M_NP	wt	1250	1325	1452	1283
210	SC35M_HA	wt	1275	1350	SC35M_NP	wt	1325	1400	1317	1361
211	SC35M_HA	wt	1500	1575	SC35M_NP	wt	450	525	1560	506
212	SC35M_HA	wt	1600	1675	SC35M_NP	wt	700	775	1643	722
213	SC35M_HA	wt	1500	1575	SC35M_NP	wt	800	875	1537	836
214	SC35M_HA	wt	1600	1675	SC35M_NP	wt	1200	1275	1639	1222
215	SC35M_HA	wt	1625	1675	SC35M_NP	wt	250	350	1649	283
216	SC35M_HA	wt	1600	1675	SC35M_NP	wt	1300	1375	1641	1344
217	SC35M_HA	wt	575	650	SC35M_NP	wt	450	525	624	506
218	SC35M_HA	wt	950	1025	SC35M_NP	wt	100	175	987	173
219	SC35M_HA	wt	450	550	SC35M_NP	wt	200	250	515	216
220	SC35M_HA	wt	500	575	SC35M_NP	wt	450	525	574	500
221	SC35M_HA	wt	500	575	SC35M_NP	wt	600	675	535	644
222	SC35M_HA	wt	1600	1675	SC35M_NP	wt	450	525	1641	502
223	SC35M_HA	wt	1100	1175	SC35M_NP	wt	575	625	1139	584
224	SC35M_HA	wt	950	1000	SC35M_NP	wt	625	700	989	626
225	SC35M_HA	wt	900	950	SC35M_NP	wt	450	525	943	498
226	SC35M_HA	wt	875	950	SC35M_NP	wt	1325	1400	923	1364
227	SC35M_HA	wt	1575	1650	SC35M_NP	wt	1375	1450	1630	1376
228	SC35M_HA	wt	1600	1650	SC35M_NP	wt	125	225	1639	178
229	SC35M_HA	wt	1687	1725	SC35M_NP	wt	125	225	1698	177
230	SC35M_HA	wt	1075	1150	SC35M_NP	wt	500	575	1113	501
231	SC35M_HA	H1	1600	1650	SC35M_NP	H1	550	600	1611	567
232	SC35M_HA	H1	1475	1525	SC35M_NP	H1	525	575	1491	525
233	SC35M_HA	wt	1475	1525	SC35M_NP	wt	950	1025	1477	973
234	SC35M_HA	wt	1125	1175	SC35M_NP	wt	1250	1325	1151	1283
235	SC35M_HA	wt	425	500	SC35M_NP	wt	1225	1300	499	1299
236	SC35M_HA	H1	825	875	SC35M_NP	H1	1400	1450	852	1416
237	SC35M_HA	H1	937	975	SC35M_NP	H1	1250	1300	942	1283
238	SC35M_HA	H1	937	975	SC35M_NP	H1	1325	1375	942	1335
239	SC35M_HA	H2	75	125	SC35M_NP	H2	88	125	95	88
240	SC35M_HA	H1	1375	1425	SC35M_NP	H1	1250	1300	1391	1279
241	SC35M_HA	4xmut	475	575	SC35M_NP	4xmut	700	775	530	725
242	SC35M_HA	4xmut	500	575	SC35M_NP	4xmut	800	900	531	832
243	SC35M_HA	4xmut	425	500	SC35M_NP	4xmut	850	925	479	877
244	SC35M_HA	8xmut	725	800	SC35M_NP	8xmut	725	800	765	771
245	SC35M_HA	wt	100	150	SC35M_NS	wt	50	100	139	75
246	SC35M_HA	wt	150	200	SC35M_NS	wt	50	125	173	78
247	SC35M_HA	wt	75	175	SC35M_NS	wt	475	550	129	513
248	SC35M_HA	wt	375	425	SC35M_NS	wt	100	150	411	129
249	SC35M_HA	8xmut	500	550	SC35M_NS	8xmut	150	200	526	170
250	SC35M_HA	H2	450	500	SC35M_NS	H2	225	275	476	237
251	SC35M_HA	wt	300	375	SC35M_NS	wt	500	550	339	524
252	SC35M_HA	wt	500	550	SC35M_NS	wt	725	775	532	747
253	SC35M_HA	wt	625	675	SC35M_NS	wt	25	75	657	48
254	SC35M_HA	wt	600	650	SC35M_NS	wt	300	350	629	338
255	SC35M_HA	H4	600	650	SC35M_NS	H4	350	400	629	364
256	SC35M_HA	wt	725	800	SC35M_NS	wt	500	550	764	525
257	SC35M_HA	wt	875	925	SC35M_NS	wt	75	125	909	117
258	SC35M_HA	wt	825	875	SC35M_NS	wt	150	225	864	182
259	SC35M_HA	wt	875	950	SC35M_NS	wt	150	225	919	183
260	SC35M_HA	wt	850	925	SC35M_NS	wt	325	400	895	369
261	SC35M_HA	H2	910	950	SC35M_NS	H2	660	725	925	696
262	SC35M_HA	wt	975	1025	SC35M_NS	wt	50	100	1002	85
263	SC35M_HA	wt	975	1025	SC35M_NS	wt	100	150	1002	126
264	SC35M_HA	wt	975	1025	SC35M_NS	wt	150	225	993	179
265	SC35M_HA	wt	975	1025	SC35M_NS	wt	325	375	999	360
266	SC35M_HA	wt	1025	1100	SC35M_NS	wt	325	400	1066	367
267	SC35M_HA	wt	975	1025	SC35M_NS	wt	500	550	1014	525
268	SC35M_HA	H4	1050	1100	SC35M_NS	H4	500	550	1073	523
269	SC35M_HA	wt	950	1025	SC35M_NS	wt	700	775	982	734
270	SC35M_HA	wt	1425	1475	SC35M_NS	wt	150	200	1456	180
271	SC35M_HA	wt	1400	1450	SC35M_NS	wt	275	325	1428	304
272	SC35M_HA	wt	1400	1450	SC35M_NS	wt	350	400	1434	367
273	SC35M_HA	wt	1275	1350	SC35M_NS	wt	500	550	1315	524
274	SC35M_HA	wt	1425	1500	SC35M_NS	wt	500	550	1461	533
275	SC35M_HA	wt	1325	1400	SC35M_NS	wt	700	775	1366	737
276	SC35M_HA	wt	1400	1475	SC35M_NS	wt	825	889	1437	853
277	SC35M_HA	wt	1575	1650	SC35M_NS	wt	75	150	1622	117
278	SC35M_HA	wt	1500	1575	SC35M_NS	wt	250	325	1543	308
279	SC35M_HA	wt	1500	1575	SC35M_NS	wt	325	400	1536	372
280	SC35M_HA	wt	1600	1675	SC35M_NS	wt	500	575	1634	513
281	SC35M_HA	wt	1600	1675	SC35M_NS	wt	725	775	1640	746
282	SC35M_HA	wt	75	150	SC35M_NS	wt	250	325	136	299
283	SC35M_HA	wt	1125	1175	SC35M_NS	wt	325	400	1149	368
284	SC35M_HA	wt	100	150	SC35M_NS	wt	100	150	132	118
285	SC35M_HA	wt	75	175	SC35M_NS	wt	350	400	133	369
286	SC35M_HA	wt	100	150	SC35M_NS	wt	837	880	125	847
287	SC35M_HA	wt	1575	1650	SC35M_NS	wt	250	325	1601	281
288	SC35M_HA	H2	1575	1650	SC35M_NS	H2	325	400	1589	350
289	SC35M_HA	H1	875	910	SC35M_NS	H1	660	725	884	678
290	SC35M_HA	H1	910	950	SC35M_NS	H1	615	660	918	647
291	SC35M_HA	H1	910	950	SC35M_NS	H1	575	615	918	599
292	SC35M_HA	H2	400	450	SC35M_NS	H2	500	550	417	519
293	SC35M_HA	H2	375	435	SC35M_NS	H2	260	300	413	276
294	SC35M_HA	H2	650	700	SC35M_NS	H2	650	725	677	693
295	SC35M_HA	H2	685	725	SC35M_NS	H2	350	400	698	360
296	SC35M_HA	H2	650	675	SC35M_NS	H2	350	375	664	363
297	SC35M_HA	H4	1125	1175	SC35M_NS	H4	500	550	1147	525
298	SC35M_HA	8xmut	450	500	SC35M_NS	8xmut	275	300	469	275
299	SC35M_HA	H2	1600	1650	SC35M_NS	H2	50	65	1617	64
300	SC35M_M	wt	125	200	SC35M_NS	wt	150	225	153	181
301	SC35M_M	wt	150	200	SC35M_NS	wt	325	400	178	372
302	SC35M_M	wt	50	100	SC35M_NS	wt	425	475	82	443
303	SC35M_M	wt	50	100	SC35M_NS	wt	500	550	80	519
304	SC35M_M	wt	100	175	SC35M_NS	wt	500	550	142	523
305	SC35M_M	wt	350	375	SC35M_NS	wt	112	130	359	121
306	SC35M_M	wt	300	350	SC35M_NS	wt	350	400	326	370
307	SC35M_M	wt	550	625	SC35M_NS	wt	100	150	596	125
308	SC35M_M	wt	640	700	SC35M_NS	wt	250	325	650	289
309	SC35M_M	wt	575	640	SC35M_NS	wt	250	325	630	285
310	SC35M_M	wt	400	500	SC35M_NS	wt	350	400	462	376
311	SC35M_M	wt	550	625	SC35M_NS	wt	450	500	596	476
312	SC35M_M	wt	575	625	SC35M_NS	wt	512	550	598	513
313	SC35M_M	wt	400	475	SC35M_NS	wt	575	625	438	595
314	SC35M_M	wt	600	650	SC35M_NS	wt	775	850	626	815
315	SC35M_M	wt	775	850	SC35M_NS	wt	50	100	829	72
316	SC35M_M	wt	850	950	SC35M_NS	wt	325	400	905	369
317	SC35M_M	wt	900	950	SC35M_NS	wt	450	500	919	473
318	SC35M_M	wt	775	825	SC35M_NS	wt	500	575	806	536
319	SC35M_M	wt	825	875	SC35M_NS	wt	700	775	852	738
320	SC35M_M	wt	775	825	SC35M_NS	wt	250	325	790	286
321	SC35M_M	wt	625	675	SC35M_NS	wt	500	550	633	518
322	SC35M_M	wt	900	975	SC35M_NS	wt	250	325	928	304
323	SC35M_M	wt	212	230	SC35M_NS	wt	660	675	220	670
324	SC35M_M	wt	175	200	SC35M_NS	wt	700	725	189	711
325	SC35M_M	wt	237	325	SC35M_NS	wt	625	700	292	668
326	SC35M_M	wt	425	500	SC35M_NS	wt	75	150	470	125
327	SC35M_M	wt	450	525	SC35M_NS	wt	487	550	467	536
328	SC35M_M	wt	775	825	SC35M_NS	wt	725	775	811	746
329	SC35M_M	8xmut	350	425	SC35M_NS	8xmut	250	325	394	288
330	SC35M_M	8xmut	450	525	SC35M_NS	8xmut	425	487	501	463
331	SC35M_M	8xmut	775	850	SC35M_NS	8xmut	325	400	822	369
332	SC35M_NA	wt	25	100	SC35M_M	wt	550	625	72	581
333	SC35M_NA	wt	112	175	SC35M_M	wt	800	900	149	843
334	SC35M_NA	wt	300	375	SC35M_M	wt	175	250	349	219
335	SC35M_NA	wt	425	500	SC35M_M	wt	50	125	485	87
336	SC35M_NA	wt	450	525	SC35M_M	wt	125	200	488	174
337	SC35M_NA	wt	450	525	SC35M_M	wt	275	350	517	327
338	SC35M_NA	8xmut	1025	1075	SC35M_M	8xmut	450	525	1025	491
339	SC35M_NA	wt	450	525	SC35M_M	wt	550	650	479	606
340	SC35M_NA	wt	525	600	SC35M_M	wt	650	725	556	703
341	SC35M_NA	wt	475	550	SC35M_M	wt	875	950	500	908
342	SC35M_NA	wt	625	700	SC35M_M	wt	800	850	658	832
343	SC35M_NA	wt	725	775	SC35M_M	wt	450	525	755	496
344	SC35M_NA	wt	950	1025	SC35M_M	wt	50	115	981	72
345	SC35M_NA	wt	925	1000	SC35M_M	wt	115	175	959	146
346	SC35M_NA	wt	925	1000	SC35M_M	wt	450	525	982	495
347	SC35M_NA	wt	1125	1200	SC35M_M	wt	475	525	1168	497
348	SC35M_NA	wt	950	1025	SC35M_M	wt	625	685	1002	663
349	SC35M_NA	wt	950	1025	SC35M_M	wt	875	975	997	928
350	SC35M_NA	wt	1150	1225	SC35M_M	wt	775	850	1192	805
351	SC35M_NA	wt	1375	1425	SC35M_M	wt	100	175	1393	126
352	SC35M_NA	wt	1325	1400	SC35M_M	wt	275	350	1375	310
353	SC35M_NA	wt	1300	1400	SC35M_M	wt	400	500	1361	463
354	SC35M_NA	wt	1275	1350	SC35M_M	wt	650	725	1318	707
355	SC35M_NA	wt	1275	1350	SC35M_M	wt	775	825	1321	797
356	SC35M_NA	wt	1275	1350	SC35M_M	wt	825	875	1321	835
357	SC35M_NA	wt	25	100	SC35M_M	wt	625	700	76	634
358	SC35M_NA	wt	425	525	SC35M_M	wt	750	850	497	848
359	SC35M_NA	H2	400	460	SC35M_M	H2	875	950	449	916
360	SC35M_NA	wt	25	100	SC35M_M	wt	425	512	78	470
361	SC35M_NA	wt	350	400	SC35M_M	wt	375	450	393	419
362	SC35M_NA	wt	400	450	SC35M_M	wt	375	450	425	405
363	SC35M_NA	wt	375	425	SC35M_M	wt	450	500	393	451
364	SC35M_NA	8xmut	450	525	SC35M_M	8xmut	375	425	479	396
365	SC35M_NA	MmtoHA51	125	200	SC35M_M	MmtoHA51	125	212	163	174
366	SC35M_NA	MmtoHA51	1275	1375	SC35M_M	MmtoHA51	150	225	1311	189
367	SC35M_NA	H2	1250	1300	SC35M_M	H2	275	400	1277	378
